2011,Temp. (°F),,,Dew Point (°F),,,Humidity (%),,,Sea Level Press. (in),,,Visibility (mi),,,Wind (mph),,,Precip. (in),Events
Feb,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,low,high,avg,high,sum,
1,30,28,25,27,24,13,92,80,68,30.44,30.3,30.16,8,3,1,16,9,22,0.17,"Rain , Snow"
2,38,33,27,34,29,19,96,74,52,30.22,29.87,29.64,10,3,1,22,7,38,0.7,Rain
3,34,29,24,20,11,6,59,48,36,30.35,30.25,30,10,10,10,20,9,26,0,
4,34,29,23,19,13,7,59,49,38,30.33,30.21,30.09,10,10,10,16,6,22,0,
5,43,37,31,41,32,19,100,78,56,30.08,29.7,29.36,10,4,0,20,6,30,0.21,"Fog , Rain , Snow"
6,45,41,37,30,26,24,76,61,45,30.03,29.85,29.47,10,10,10,22,7,33,0,
7,45,41,36,37,30,24,92,71,49,30.06,29.92,29.7,10,8,3,13,5,16,0.13,Rain
8,41,30,18,38,25,-1,92,64,36,30.15,29.71,29.53,10,8,3,23,12,39,0.11,Rain
9,29,22,15,10,4,0,54,45,35,30.26,30.16,30.03,10,10,10,16,8,28,0,
10,29,26,22,12,3,-5,50,39,27,30.15,30.03,29.95,10,10,10,16,8,22,0,
11,37,28,19,11,5,1,45,39,32,30.22,30.13,30.03,10,10,10,15,6,20,0,
12,40,35,30,22,16,9,61,47,32,30.09,29.92,29.81,10,10,7,20,9,35,0,
13,46,37,28,24,17,9,47,42,37,30.13,29.98,29.78,10,10,10,17,8,25,0,
14,58,48,37,29,26,20,57,44,30,29.83,29.59,29.41,10,10,10,31,13,43,0,
15,37,31,25,20,4,-4,52,36,20,30.41,30.24,29.88,10,10,10,28,12,38,0,
16,48,37,26,24,11,-5,42,30,17,30.41,30.29,30.16,10,10,10,16,5,25,0,
17,63,55,46,41,31,24,59,46,32,30.16,30.09,29.99,10,10,8,13,4,18,0,
18,67,57,46,46,40,7,77,48,18,29.94,29.75,29.6,10,10,8,23,7,36,0,
19,54,39,23,17,11,4,46,31,15,30.03,29.78,29.64,10,10,10,31,16,47,T,
20,40,31,21,10,7,5,52,40,27,30.17,30.1,30.01,10,10,10,22,9,31,0,
21,37,31,24,29,24,9,100,66,32,29.99,29.85,29.73,10,5,0,18,8,25,0.34,"Fog , Snow"
22,36,26,16,12,6,1,52,44,35,30.26,30.1,29.91,10,10,10,18,7,24,0,
23,40,31,21,9,6,4,52,37,22,30.35,30.3,30.27,10,10,10,10,4,15,0,
24,44,37,30,38,22,5,79,54,29,30.29,30.15,29.98,10,10,6,12,4,17,0.05,Rain
25,57,46,34,54,41,18,100,76,51,30,29.6,29.21,10,4,0,21,5,32,1.32,"Fog , Rain"
26,43,37,31,28,18,12,70,50,30,30.21,30.11,29.97,10,10,10,13,6,16,0,
27,50,44,38,35,29,23,85,59,33,30.12,29.98,29.87,10,10,8,16,7,23,0,
28,60,50,40,51,43,25,93,75,57,30.1,29.72,29.51,10,6,2,20,10,31,0.44,Rain
